instance,algorithm,objective,time_sec,optimality_gap_%,opened_facilities_count,num_facilities,num_customers
gen_f100_c200_s123.txt,strong,2323995.9600000004,0.3188956359999793,-,5,100,200
gen_f100_c200_s123.txt,weak,2323995.9600000004,11.485021922999977,-,5,100,200
gen_f100_c200_s123.txt,strong_rl,2323995.9600000004,0.2883023859999412,0.0,-1,100,200
gen_f100_c200_s123.txt,weak_rl,717595.3451000002,0.15883278499995868,69.12,-1,100,200
gen_f100_c200_s123.txt,erlenkotter,2295461.98,0.05980455000008078,1.23,-1,100,200
gen_f100_c200_s123.txt,greedy,2323995.96,0.0028724459998556995,-0.0,5,100,200
gen_f10_c30_s123.txt,strong,178152.85,0.14859586500006117,-,2,10,30
gen_f10_c30_s123.txt,weak,178152.85,0.21353063200012912,-,2,10,30
gen_f10_c30_s123.txt,strong_rl,178152.85,0.047765749000063806,0.0,-1,10,30
gen_f10_c30_s123.txt,weak_rl,134227.673,0.10688185100002556,24.66,-1,10,30
gen_f10_c30_s123.txt,erlenkotter,175857.05,0.0019312460001401632,1.29,-1,10,30
gen_f10_c30_s123.txt,greedy,178152.85,0.00013267799999994168,0.0,2,10,30
gen_f25_c25_s123.txt,strong,147750.94999999995,0.18288096500009487,-,3,25,25
gen_f25_c25_s123.txt,weak,147750.94999999995,0.12817435299984936,-,3,25,25
gen_f25_c25_s123.txt,strong_rl,147750.94999999995,0.05837014300004739,0.0,-1,25,25
gen_f25_c25_s123.txt,weak_rl,69388.27999999998,0.06367472600004476,53.04,-1,25,25
gen_f25_c25_s123.txt,erlenkotter,146373.3,0.002891546999990169,0.93,-1,25,25
gen_f25_c25_s123.txt,greedy,149922.78000000003,0.0005101649999232905,1.47,4,25,25
gen_f75_c150_s123.txt,strong,2681271.45,0.20067870399998355,-,3,75,150
gen_f75_c150_s123.txt,weak,2681271.45,3.419435619000069,-,3,75,150
gen_f75_c150_s123.txt,strong_rl,2681271.45,0.22238455899992005,0.0,-1,75,150
gen_f75_c150_s123.txt,weak_rl,1059480.802733333,0.1763129599999047,60.49,-1,75,150
gen_f75_c150_s123.txt,erlenkotter,2678012.9300000006,0.05500123700016957,0.12,-1,75,150
gen_f75_c150_s123.txt,greedy,3091237.04,0.0018236050000268733,15.29,3,75,150
gen_f75_c200_s123.txt,strong,968075.3999999998,0.23700084999995852,-,14,75,200
gen_f75_c200_s123.txt,weak,968075.3999999998,1.0716921250000269,-,14,75,200
gen_f75_c200_s123.txt,strong_rl,968075.3999999998,0.1769813939999949,0.0,-1,75,200
gen_f75_c200_s123.txt,weak_rl,417045.27154999983,0.2064995389998785,56.92,-1,75,200
gen_f75_c200_s123.txt,erlenkotter,965320.21,0.03278942800011464,0.28,-1,75,200
gen_f75_c200_s123.txt,greedy,992860.64,0.006775779999998122,2.56,15,75,200
gen_f80_c150_s123.txt,strong,1554644.1600000001,0.2437761109999883,-,3,80,150
gen_f80_c150_s123.txt,weak,1554644.1600000001,5.236377251000022,-,3,80,150
gen_f80_c150_s123.txt,strong_rl,1554644.1600000001,0.18160889800014957,0.0,-1,80,150
gen_f80_c150_s123.txt,weak_rl,580233.5190000001,0.12643911999998636,62.68,-1,80,150
gen_f80_c150_s123.txt,erlenkotter,1541302.57,0.0399662970000918,0.86,-1,80,150
gen_f80_c150_s123.txt,greedy,1582122.02,0.0012090719999378052,1.77,3,80,150
